Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Shaka Zulu,Violet Nanyonjo,Shaka Zulu,2018-02-24,0.0,184031.0,0
Echelons (Album),nan,,,,,0
Duke Ellington: The Webster Blanton Band (Album),nan,,,,,0
Document (Album),nan,,,,,0
The Complete Sun Sessions (Album),nan,,,,,0
The Bristol Sessions (Album),nan,,,,,0
Singers And Soloists Of The Swing Bands (Album),nan,,,,,0
Jimmie Rodgers On Record: America's Blue Yodeler (Album),nan,,,,,0
The Otis Redding Story (Album),nan,,,,,0
The Gershwin Collection (Album),nan,,,,,0
The Bristol Sessions (Album),nan,,,,,0
Singers And Soloists Of The Swing Bands (Album),nan,,,,,0
Reflections (Single),nan,,,,,0
Neonati,Ea la nana,Canciones para Dormir 2,2022-02-11,18.0,135107.0,0
Heart And Soul (Album),nan,,,,,0
Cinemagic,nan,,,,,0
A Momentary Lapse Of Reason (Album),nan,,,,,0
"Michael Jackson, Quincy Jones (producers)",nan,,,,,0
"Don Gehman, John Cougar Mellencamp (producers)",nan,,,,,0
"Emilio And The Jerks (Lawrence Dermer, Joe Galdo, Rafael Vigil) (producers)",nan,,,,,0
"Brian Eno (), Daniel Lanois (producers)",nan,,,,,0
Hanson: Symphony No. 2/Barber: Violin Concerto (Album),nan,,,,,0
"Faure: Requiem, Op. 48/Durufle: Reqiem, Op. 9 (Album)",nan,,,,,0
Beethoven: Symphony No. 9 In D Minor (Choral) (Album),nan,,,,,0
Adams: The Chairman Dances,nan,,,,,0
Holst: The Planets (Album),nan,,,,,0
Hanson: Symphony No. 2 (Romantic) (Album),nan,,,,,0
Copland: Symphony No. 3/Quiet City (Album),nan,,,,,0
"Berg, Webern, Schoenberg: Orchestral Pieces (Album)",nan,,,,,0
Verdi: Macbeth (Album),nan,,,,,0
Mozart: The Marriage Of Figaro (Album),nan,,,,,0
Mozart: The Abduction From The Seraglio (Album),nan,,,,,0
Mozart: Don Giovanni (Album),nan,,,,,0
Tippett: A Child Of Our Time (Album),nan,,,,,0
Mahler: Symphony No. 8 In E Flat (Symphony Of A Thousand) (Album),nan,,,,,0
Janácek: Glagolitic Mass,nan,,,,,0
Copland: Old American Songs: Canticle Of Freedom; Four Motets (Album),nan,,,,,0
Bach: St. John Passion (Album),nan,,,,,0
"Mozart: Horn Concertos No. 1-4, Rondo, Fragment (Album)",nan,,,,,0
"Carnaval (Works By Arban, Clarke, Levy, Paganini, Rimsky-Korsakov, Bellstedt) (Album)",nan,,,,,0
Beethoven: Piano Concerto No 5 In E Flat (Emperor) (Album),nan,,,,,0
