Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
"R. Strauss: Glenn Gould Plays Strauss (Sonata; Five Pieces, Op. 3) (Album)",nan,,,,,0
"Music Of Spain, Vol. 7 \""A Celebration Of Andres Segovia\"" (Album)",nan,,,,,0
"Beethoven: Piano Sonata No. 29 In B Flat, Op. 106 \""Hammerklavier\"" (Album)",nan,,,,,0
"Mozart: Violin Sonatas K.301,302,303,304 (Album)",nan,,,,,0
Corea: Lyric Suite For Sextet (Album),nan,,,,,0
Brahms: The String Quintets In F And G (Album),nan,,,,,0
"Brahms: Piano Quintet In F Minor, Op.34 (Album)",nan,,,,,0
Mahler: Symphony No. 4 In G Major-4th Movement (Track),nan,,,,,0
"Mahler: Symphony No. 2 In C Minor (\""Resurrection\"") (Album)",nan,,,,,0
Mahler's Songs Of Youth (Album),nan,,,,,0
Brahms: Songs Of Brahms (Album),nan,,,,,0
Winter Cantata,nan,,,,,0
The Perfect Stranger (Album),nan,,,,,0
Magabunda (Four Poems Of Agueda Pizzaro) (Album),nan,,,,,0
Apple Waltzes (Album),nan,,,,,0
"Wynton Marsalis-Edita Gruberova, Handel, Purcell, Torelli, Fasch, Molter (Album)",nan,,,,,0
Mahler: Symphony No. 4 In G Major (Album),nan,,,,,0
Brahms: Piano Concerto No. 1 In D Minor (Album),nan,,,,,0
Brahms: A German Requiem (Album),nan,,,,,0
Robert Woods,nan,,,,,0
Thomas Z. Shepard,nan,,,,,0
Jay David Saks,nan,,,,,0
Marc Aubort & Joanna Nickrenz,nan,,,,,0
Beat It,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,75.0,258040.0,1
Thriller,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,66.0,357266.0,1
Every Breath You Take,Nando Espinosa,"Best Instrumental Rock, Vol. 2",2021-12-30,0.0,250909.0,1
Culture Club,nan,,,,,1
Flashdance...What a Feeling - Radio Edit,Irene Cara,What a Feelin',1983-11-02,71.0,237053.0,1
Thriller,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,66.0,357266.0,1
Every Breath You Take,Nando Espinosa,"Best Instrumental Rock, Vol. 2",2021-12-30,0.0,250909.0,1
Being with You,George Benson,In Your Eyes,1983-05-18,24.0,234800.0,1
Love Is A Battlefield,Pat Benatar,The Collection,2001-01-01,62.0,245400.0,1
Beat It,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,75.0,258040.0,1
Synchronicity,Nanoshrine,Sunsets,2017-08-04,0.0,226083.0,1
Brimstone And Treacle,Sting,,,,,1
Chaka Khan,Chaka Khan,,,,,1
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,78.0,293826.0,1
Ain't Nobody,Rufus,,,,,1
Rockit,Herbie Hancock,Future Shock,1983,46.0,325133.0,1
Billie Jean,Nanii2x,Billie Jean,2022-12-21,0.0,116516.0,1
Travels - Live,Pat Metheny Group,Travels,1983-05-02,27.0,303226.0,1
A Little Good News,Anne Murray,Anne Murray The Best Of...So Far - 20 Greatest Hits,1994-01-01,34.0,188306.0,1
I.O.U.,Lee Greenwood,Somebody's Gonna Love You,1983-01-01,36.0,189000.0,1
The Closer You Get,Alabama,The Closer You Get...,1983,45.0,271866.0,1
Fireball,nan,,,,,1
Stranger In My House,nan,,,,,1
Ageless - Medley,Amy Grant,The Collection,1986,14.0,369440.0,1
Walls of Glass,Russ Taff,Walls of Glass,1983-08-28,14.0,239760.0,1
More Than Wonderful,Sandi Patty,The Finest Moments,1989-11-06,29.0,366840.0,1
We Need to Hear from You,Sandra Crouch,Classic Gold: We Sing Praises,2003-03-18,10.0,236186.0,1
I'll Rise Again,Al Green,,,,,1
I'm So Glad I'm Standing Here Today,Barbara Mandrell,,,,,1
He's A Rebel,Donna Summer,She Works Hard For The Money,1983-01-01,12.0,264373.0,1
De Tí Me Enamoré,José Feliciano,Lo Mejor de José Feliciano,2021-03-09,10.0,234866.0,1
On Broadway,Tito Puente & His Latin Ensemble,Party With Puente!,2000-01-01,5.0,486039.0,1
Anselma,Los Lobos,...And A Time To Dance,1983,20.0,191400.0,1
Inflation Blues,B.B. King,Blues 'N' Jazz,1983-01-01,14.0,254573.0,1
I'm Here,Clifton Chenier,,,,,1
E.T. The Extra-Terrestrial,Michael Jackson,,,,,1
Eddie Murphy: Comedian,Eddie Murphy,,,,,1
Copland: A Lincoln Portrait,William Warfield,,,,,1
Love Theme From Flashdance,nan,,,,,1
Flashdance,nan,,,,,1
Cats (Complete Original Broadway Cast Recording),nan,,,,,1
Girls On Film/Hungry Like The Wolf,Duran Duran,,,,,1
Pasito Duranguense,Montez de Durango,El Sube Y Baja,2002-01-04,48.0,200213.0,1
The Best Is Yet To Come,Ella Fitzgerald,The Best Is Yet To Come,1982,8.0,319760.0,1
Top Drawer,Mel Tormé,,,,,1
why not,my nan's music,no.,2020-02-05,0.0,145392.0,1
Think Of Sky,The Noise Nannies,Chill: Peaceful Days Vol. 1,2023-02-16,0.0,120000.0,1
At The Vanguard,nan,,,,,1
All In Good Time,Rob McConnell,,,,,1
Summer Sketches '82,nan,,,,,1
What Are You Doing New Year's Eve?,Nancy Wilson,"Yesterday's Love Songs, Today's Blues (Expanded Edition)",1963,37.0,146200.0,1
Be Bop Medley,nan,,,,,1
Speaking In Tongues,nan,,,,,1
The Interplay Sessions,nan,,,,,1
"The Greatest Recordings Of Arturo Toscanini - Symphonies, Vol. I",nan,,,,,1
Thriller,Nando Espinosa,Generic Complex,2022-11-22,0.0,300923.0,1
Michael Jackson & Quincy Jones,nan,,,,,1
Mahler: Symphony No. 9 In D,nan,,,,,1
Mahler: Symphony No. 9 In D,nan,,,,,1
Verdi: La Traviata,nan,,,,,1
Mozart: Le Nozze Di Figaro,nan,,,,,1
Haydn: The Creation,nan,,,,,1
"Brahms: Sonata For Cello And Piano In E Minor, Op. 38 And Sonata In F, Op. 99",nan,,,,,1
Haydn: Trumpet Concerto In E Flat/L. Mozart: Trumpet  Concerto In D/Hummel: Trumpet Concerto In E Flat,nan,,,,,1
Beethoven: Piano Sonatas Nos. 12 & 13,nan,,,,,1
Leontyne Price & Marilyn Horne In Concert At The Met,nan,,,,,1
Mahler: Symphony No. 9 In D,nan,,,,,1
Marc Aubort & Joanna Nickrenz,nan,,,,,1
Maniac (Single),Michael Sembello,,,,,0
Flashdance...What A Feeling,Irene Cara,Flashdance..What A Feeling - Single,2009-12-21,30.0,246746.0,0
Every Breath You Take (Single),nan,,,,,0
All Night Long - Single Version,Lionel Richie,Back To Front,1992-01-01,58.0,260493.0,0
Flashdance (Original Soundtrack From The Motion Picture),nan,,,,,0
Synchronicity (Album),nan,,,,,0
Let's Dance,David Bowie Tribute Band,World's Greatest 80's Disco - The Only 80's Disco Album You'll Ever Need (Deluxe Version),2010-03-22,0.0,257306.0,0
An Innocent Man (Album),Billy Joel,,,,,0
Maniac (Single),nan,,,,,0
Billie Jean (Single),nan,,,,,0
Beat It (Single),nan,,,,,0
All Night Long (All Night) (Single),nan,,,,,0
The Eurythmics,nan,,,,,0
Big Country,nan,,,,,0
Musical Youth,nan,,,,,0
Men Without Hats,nan,,,,,0
What's New?,Linda Ronstadt,The 80's Studio Album Collection,2014-04-14,2.0,237960.0,0
Total Eclipse Of The Heart (Single),Bonnie Tyler,,,,,0
Telefone (Long Distance Love Affair) - 1993 Remastered Version,Sheena Easton,The World Of Sheena Easton - The Singles,1993-06-07,11.0,223533.0,0
She Works Hard For The Money - Single Version,Donna Summer,Summer: The Original Hits,2018-04-20,33.0,273906.0,0
Uptown Girl (Track),Billy Joel,,,,,0
Maniac (Single),Michael Sembello,,,,,0
All Night Long - Single Version,Lionel Richie,Back To Front,1992-01-01,58.0,260493.0,0
1999 (Album),Prince,,,,,0
The Girl Is Mine (Single),Michael Jackson,,,,,0
Islands In The Stream (Single),Dolly Parton,,,,,0
How Do You Keep The Music Playing (Single),James Ingram,,,,,0
Do You Really Want To Hurt Me (Single),Culture Club,,,,,0
Love Theme From Flashdance (Track),Helen St. John,,,,,0
Precious Friends,Nanamori-Chu☆Goraku-Bu,Yuruyuri♪♪ 1st. Series Best Album Yuruyu Rhythm♪,2018-03-16,3.0,282786.0,0
Breakdown (Track),Joe Jackson,,,,,0
Blow Your Own Horn (Album),Herb Alpert,,,,,0
The Key (Album),Joan Armatrading,,,,,0
Stand Back (Single),Stevie Nicks,,,,,0
Invisible Hands (Single),Kim Carnes,,,,,0
Faster Than The Speed Of Night (Album),Bonnie Tyler,,,,,0
The Distance (Album),Bob Seger,,,,,0
I Don't Care Anymore (Track),Phil Collins,,,,,0
Cat People (Putting Out Fire) (Track),David Bowie,,,,,0
Affair Of The Heart (Single),Rick Springfield,,,,,0
In A Big Country (Single),Big Country,,,,,0
Heart And Soul (Single),Huey Lewis,,,,,0
Eliminator (Album),ZZ Top,,,,,0
Burning Down The House (Single),Talking Heads,,,,,0
Unused Piano: Quadrophenia (Track),Pete Townshend,,,,,0
Rude Mood (Track),Stevie Ray Vaughan,,,,,0
Road Games (Instrumental Tracks Only) (Track),nan,,,,,0
Anybody There (Single),Rainbow,,,,,0
The Best Is Yet To Come (Track),Patti LaBelle,,,,,0
Merciless (Album),Stephanie Mills,,,,,0
I'm So Proud (Album),Deniece Williams,,,,,0
Get It Right (Album),Aretha Franklin,,,,,0
Feel My Soul (Album),Jennifer Holliday,,,,,0
Stay With Me Tonight,Jeffrey Osborne,Stay With Me Tonight,1983-01-01,37.0,298533.0,0
Party Animal (Single),James Ingram,,,,,0
Midnight Love (Album),Marvin Gaye,,,,,0
International Lover (Track),Prince,,,,,0
It's Raining Men (Single),nan,,,,,0
Love Me In A Special Way - Instrumental,DeBarge,Time Will Reveal: The Complete Motown Albums,2011-09-20,7.0,298826.0,0
Fall In Love With Me,nan,,,,,0
Dead Giveaway (Single),Shalamar,,,,,0
Where Are We Going? (Track),nan,,,,,0
Today (Track),James Brown,,,,,0
The Mood (Track),Kashif,,,,,0
Billie Jean (Instrumental Version) (Single),Quincy Jones,,,,,0
Wanna Be Startin' Somethin' (Single),nan,,,,,0
P.Y.T. (Pretty Young Thing) (Single),nan,,,,,0
Electric Avenue,Nando Espinosa,All Mixed Rock Pop Heavy,2022-08-23,0.0,228292.0,0
Ain't Nobody,nan,,,,,0
Star People (Album),Miles Davis,,,,,0
Procession (Album),Weather Report,,,,,0
Mirage A Trois (Album),Yellowjackets,,,,,0
City Kids (Album),Spyro Gyra,,,,,0
Last Date (Album),Emmylou Harris,,,,,0
Burlap And Satin (Album),Dolly Parton,,,,,0
Baby What About You (Single),Crystal Gayle,,,,,0
Baby I Lied (Single),Deborah Allen,,,,,0
Stranger In My House (Single),Ronnie Milsap,,,,,0
If You're Gonna Do Me Wrong (Do It Right) (Single),Vern Gosdin,,,,,0
Holding Her And Loving You (Single),Earl Thomas Conley,,,,,0
Born To Love Me (Single),Ray Charles,,,,,0
All My Life (Single),Kenny Rogers,,,,,0
Take It To The Limit (Album),Willie Nelson,,,,,0
Pancho and Lefty,Merle Haggard,The Essential Merle Haggard: The Epic Years,1981,56.0,287626.0,0
Houston Means I'm One Day Closer to You,Larry Gatlin & The Gatlin Brothers,Snapshot: Larry Gatlin & The Gatlin Brothers,2015-03-10,25.0,184453.0,0
American Made (Album),nan,,,,,0
Wildwood Flower (Single),Roy Clark,,,,,0
Tara Theme (Track),Chet Atkins,,,,,0
Roller Coaster (Track),Earl Scruggs,,,,,0
Doc And Merle Watson's Guitar Album (Album),Merle Watson,,,,,0
Classic Country I (Track),nan,,,,,0
Lady Down On Love (Single),nan,,,,,0
I.O.U. (Single),nan,,,,,0
Baby I Lied (Single),nan,,,,,0
A Little Good News (Single),nan,,,,,0
War Of Love (Album),Sheila Walsh,,,,,0
The Gift Goes On (Album),Sandi Patti,,,,,0
He Rolled Away The Stone - Reign On Me Album Version,Michele Pillar,Reign On Me,1983-01-01,9.0,272488.0,0
Come Celebrate Jesus (Track),Cynthia Clawson,,,,,0
Michael W. Smith Project (Album),Michael W. Smith,,,,,0
I Put Away My Idols (Album),Dion,,,,,0
I Exalt Thee (Album),Phil Driscoll,,,,,0
Chariots Of Fire (Album),Dino,,,,,0
Right by Your Side,Nanami Ozone,Desire,2016-05-06,9.0,244453.0,0
No Other Name But Jesus (Track),nan,,,,,0
More (Album),Mylon LeFevre,,,,,0
White Heart (Album),White Heart,,,,,0
"Masters V Featuring: Hovie Lister, J.D. Sumner, James Blackwood, Jake Hess, Shaun Neilsen (Album)",Masters V,,,,,0
Peace Be Still (Album),Vanessa Bell Armstrong,,,,,0
Make Me An Instrument (Album),Candi Staton,,,,,0
"Jesus, I Love Calling Your Name (Album)",Shirley Caesar,,,,,0
God Is Able To Carry You Through (Album),Albertina Walker,,,,,0
Determined (Album),Tramaine Hawkins,,,,,0
"Take My Hand, Precious Lord (Track)",Thomas A. Dorsey,,,,,0
"Precious Lord, Take My Hand (Track)",Solomon Burke,,,,,0
Longtime Friends (Album),Morris Chapman,,,,,0
Cornerstone (Track),Leon Patillo,,,,,0
Sincerely (Album),nan,,,,,0
Long Time Comin' (Album),nan,,,,,0
He's Worthy (Track),Andrae Crouch,,,,,0
Glad I Heard Your Voice (Track),Andrae Crouch,,,,,0
Precious Lord (Track),Linda Hopkins,,,,,0
Peace In The Valley (Album),B.J. Thomas,,,,,0
Noel! Noel! (Album),Leontyne Price,,,,,0
I've Come Back (To Say I Love You One More Time) (Track),Cristy Lane,,,,,0
Ven (Album),Jose Luis Rodriguez,,,,,0
Una Aventura Llamada Menudo (Album),Menudo,,,,,0
Lani (Album),Lani Hall,,,,,0
Besame Mucho (Track),Placido Domingo,,,,,0
Tremendo Trio (Album),Ray Barretto,,,,,0
Mongo Magic (Album),Mongo Santamaria,,,,,0
El Que La Hace La Paga (Album),Rubén Blades,,,,,0
Corazon Guerrero (Album),Willie Colon,,,,,0
Yo Te Necesito,Los Bukis,Yo Te Necesito,1984-01-01,65.0,178240.0,0
Todo (Album),Juan Gabriel,,,,,0
Es La Diferencia (Album),Vicente Fernandez,,,,,0
A Cambio De Qui (Track),Chelo,,,,,0
Texas Flood,Stevie Ray Vaughan,Texas Flood (Legacy Edition),1983,54.0,320906.0,0
San Francisco '83 (Album),Albert King,,,,,0
One More Mile (Album),"Clarence ""Gatemouth"" Brown",,,,,0
Blues Train (Album),Roomful Of Blues,,,,,0
The Grey Fox (Album),nan,,,,,0
Synchro System (Album),King Sunny Ade,,,,,0
Renaissance Of The Celtic Harp (Album),Alan Stivell,,,,,0
Raga Mishra Piloo (Album),Ravi Shankar,,,,,0
Born To Add,nan,,,,,0
Born To Add,nan,,,,,0
The Music Machine Part II (Album),nan,,,,,0
Rocky Mountain Holiday (Album),John Denver,,,,,0
What Becomes A Semi-Legend Most? (Album),Joan Rivers,,,,,0
Throbbing Python Of Love (Album),Robin Williams,,,,,0
Monty Python's The Meaning Of Life (Album),Monty Python,,,,,0
Bill Cosby Himself (Album),Bill Cosby,,,,,0
The Robots Of Dawn (Album),Isaac Asimov,,,,,0
Old Possum's Book Of Practical Cats (Album),John Gielgud,,,,,0
"Jane Fonda's Work Out Record For Pregnancy, Birth And Recovery (Album)",Jane Fonda,,,,,0
Everything You Always Wanted To Know About Home Computers (Album),Steve Allen,,,,,0
The Thorn Birds Theme,nan,,,,,0
Rockit,nan,,,,,0
Dream Hunter,nan,,,,,0
An Actor's Life,nan,,,,,0
Tootsie Original Motion Picture Soundtrack (Album),nan,,,,,0
Stayin' Alive (Album),nan,,,,,0
Star Wars - The Return Of The Jedi,nan,,,,,0
Gandhi (Album),nan,,,,,0
Zorba (Album),nan,,,,,0
On Your Toes (Album),nan,,,,,0
Little Shop Of Horrors (Album),nan,,,,,0
La Cage Aux Folles (Album),nan,,,,,0
Videosyncracy (Video),nan,,,,,0
Rod Stewart: Tonight He's Yours (Video),Rod Stewart,,,,,0
Bill Wyman (Video),Bill Wyman,,,,,0
A Flock Of Seagulls (Video),nan,,,,,0
Word Of Mouth,Toni Basil,,,,,0
Rolling Stones Let's Spend The Night Together (Video),nan,,,,,0
Olivia In Concert (Video),Olivia Newton-John,,,,,0
Grace Jones: A One Man Show (Video),Grace Jones,,,,,0
"Alice Cooper \""The Nightmare\"" (Video)",Alice Cooper,,,,,0
Whatever Happened To Love? (Album),Betty Carter,,,,,0
Crazy And Mixed Up (Album),Sarah Vaughan,,,,,0
Sue Raney Sings The Music Of Johnny Mandel (Album),Sue Raney,,,,,0
Big City (Album),Ernestine Anderson,,,,,0
The Dave Frishberg Songbook - Volume 2 (Album),Dave Frishberg,,,,,0
Lessons In Living (Album),Mose Allison,,,,,0
Jimmy Witherspoon Sings The Blues With Panama Francis And The Savoy Sultans (Album),nan,,,,,0
Cloudburst (Album),Jon Hendricks,,,,,0
Supersax And L.A. Voices (Album),L.A. Voices,,,,,0
New Weave (Album),Rare Silk,,,,,0
Listen (Album),nan,,,,,0
A Stephen Sondheim Collection (Album),nan,,,,,0
Trio Music (Album),nan,,,,,0
"The Last Stitt Sessions, Vol. 1 (Album)",nan,,,,,0
Keystone 3 (Album),nan,,,,,0
At The Vanguard (Album),nan,,,,,0
To Tadd With Love (Album),Philly Joe Jones,,,,,0
Think Of One (Album),Wynton Marsalis,,,,,0
Sprint (Album),Red Rodney,,,,,0
Quartet (Album),Herbie Hancock,,,,,0
Keystone 3 (Album),Art Blakey,,,,,0
The London Gig (Album),Louis Bellson,,,,,0
Soaring (Album),Bob Florence,,,,,0
Priestess (Album),Gil Evans,,,,,0
Farmers Market Barbecue (Album),Count Basie,,,,,0
Too Hip For The Room (Track),nan,,,,,0
Remembering Bud (Track),nan,,,,,0
I Got Rhythm (Track),nan,,,,,0
Afternoon Of A Prawn (Track),nan,,,,,0
Step By Step (Track),nan,,,,,0
Mornin' (Track),nan,,,,,0
Be Bop Medley (Track),nan,,,,,0
All Night Long (All Night) (Single),nan,,,,,0
The Night That Monk Returned To Heaven (Track),nan,,,,,0
Red Clay (Track),nan,,,,,0
Down South Camp Meetin' (Track),nan,,,,,0
Code Of Ethics (Track),nan,,,,,0
The Key (Album),nan,,,,,0
Records (Album),nan,,,,,0
One Night With A Stranger (Album),nan,,,,,0
Nothing But The Truth (Album),nan,,,,,0
The Okeh Sessions (Album),nan,,,,,0
"The Fugs Greatest Hits, Vol. I (Album)",nan,,,,,0
Seven Come Eleven (Album),nan,,,,,0
Giants Of Jazz/Joe Sullivan (Album),nan,,,,,0
The Motown Story: The First 25 Years (Album),nan,,,,,0
The Complete Blue Note Recordings Of Thelonious (Album),nan,,,,,0
Kings Of New Orleans Jazz (Album),nan,,,,,0
Back In The Saddle Again: American Cowboy Songs (Album),nan,,,,,0
Target (Album),nan,,,,,0
Kilroy Was Here (Album),nan,,,,,0
Jarreau (Album),nan,,,,,0
Bossa Nova Hotel (Album),nan,,,,,0
Jay Graydon (producer),nan,,,,,0
"James Anthony Carmichael, Lionel Richie (producers)",nan,,,,,0
Quincy Jones (producer),nan,,,,,0
Phil Ramone (producer),nan,,,,,0
"Vivaldi: Four Seasons And Concerto For 4 Violins,Op. 3, No. 10/ Bach: Double Concerto BWV 1043/ Mozart: Sinfonia Concertante, K. 364 (Album)",nan,,,,,0
Verdi: Falstaff (Album),nan,,,,,0
Leontyne Price And Marilyn Horne In Concert At The Met (Album),nan,,,,,0
Haydn: Concerto For Trumpet And Orchestra In E Flat Major/L. Mozart: Concerto For Trumpet And Orchestra In D Major/ Hummel: Concerto For Trumpet And Orchestra In E-Flat Major (Album),nan,,,,,0
Mozart: The Symphonies - Vol. 6 (Album),nan,,,,,0
"Del Tredici: In Memory Of A Summer Day (Child Alice, Part One) (Album)",nan,,,,,0
Bernstein: West Side Story Symphonic Dances And Candide Overture/ Barber: Adagio For Strings/ Schuman: American Festival Overture (Album),nan,,,,,0
"Beethoven: Symphony No. 5 In C Minor, Op.  67 (Album)",nan,,,,,0
Wagner: Tristan Und Isolde (Album),nan,,,,,0
Verdi: Falstaff (Album),nan,,,,,0
Verdi: Aida (Album),nan,,,,,0
Haydn: The Creation,nan,,,,,0
The Brahms Edition: Choral Works A Capella (Complete) (Album),nan,,,,,0
Handel: Coronation Anthems (Album),nan,,,,,0
Bach: St. Matthew Passion (Album),nan,,,,,0
Zemlinsky: The String Quartets (Album),nan,,,,,0
Ravel: Introduction And Allegro (Album),nan,,,,,0
Glass: The Photographer (Album),nan,,,,,0
"Beethoven: \""Archduke\"" Trio (Trio No. 6 In B-Flat, Op. 97) (Album)",nan,,,,,0
Bartók: The String Quartets (6),nan,,,,,0
"Weber: Concerto For Clarinet No. 1 In F Minor, Op. 73/ Rossini: Theme And Variations For Clarinet And Orchestra/ Mozart: Andante In C, K. 315 (Album)",nan,,,,,0
"Vivaldi: The Four Seasons And Concerto For 4 Violins, Op. 3, No. 10 (Album)",nan,,,,,0
Vivaldi: The Four Seasons,nan,,,,,0
"Mozart: Concerto For Violin And Orchestra No. 3 In G Major, K. 216 And No. 5 In A Major, K. 219 (Album)",nan,,,,,0
Gershwin: Rhapsody In Blue (Album),nan,,,,,0
Beethoven: Piano Concerto No. 3 In C Minor Op.37 (Album),nan,,,,,0
"Ravel: Gaspard De La Nuit/ Prokofiev: Sonata For Piano No. 6 In A Major, Op. 82 (Album)",nan,,,,,0
Paganini: Caprices (24) (Album),nan,,,,,0
Horowitz In London (Album),nan,,,,,0
"Beethoven: Sonata For Piano No. 15 In D Major, Op. 28 (\""Pastoral\"") And No. 3 In C Major, Op. 2, No. 3 (Album)",nan,,,,,0
The Brahms Edition: Lieder (Complete),nan,,,,,0
The Brahms Edition: Lieder (Complete) (Album),nan,,,,,0
Mozart: Opera Arias (Album),nan,,,,,0
Faure: Eighteen Songs (Album),nan,,,,,0
Verdi: Falstaff (Album),nan,,,,,0
Leontyne Price And Marilyn Horne In Concert At The Met (Album),nan,,,,,0
Haydn: The Creation (Album),nan,,,,,0
"Del Tredici: In Memory Of A Summer Day (Child Alice, Part One) (Album)",nan,,,,,0
(R.) Strauss: Metamorphoses/ Death And Transfiguration (Album),nan,,,,,0
Steven Epstein,nan,,,,,0
Andrew Cornall,nan,,,,,0
Jay David Saks,nan,,,,,0
Steven Paul,nan,,,,,0
